Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Isaiah Stewart,DET,@CLE,01/27/2021,L,15,0,0,6,0.0,0,0,-,0,0,-,6,0,6,1,1,0,0,2,-1
Wayne Ellington,DET,@CLE,01/27/2021,L,33,17,6,11,54.5,4,8,50.0,1,1,100,0,2,2,1,2,0,1,1,-1
Jahlil Okafor,DET,@CLE,01/27/2021,L,5,3,1,2,50.0,0,0,-,1,2,50.0,1,0,1,0,0,1,0,0,-10
Isaac Okoro,CLE,vs.DET,01/27/2021,W,37,10,3,5,60.0,1,3,33.3,3,3,100,1,1,2,6,2,0,1,4,1
Damyean Dotson,CLE,vs.DET,01/27/2021,W,8,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-1
Dean Wade,CLE,vs.DET,01/27/2021,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Andre Drummond,CLE,vs.DET,01/27/2021,W,28,23,9,24,37.5,0,0,-,5,8,62.5,6,10,16,2,5,2,4,2,6
Saddiq Bey,DET,@CLE,01/27/2021,L,20,7,2,4,50.0,1,3,33.3,2,2,100,0,2,2,2,0,0,2,1,-11
Josh Jackson,DET,@CLE,01/27/2021,L,22,4,2,9,22.2,0,3,0.0,0,0,-,1,4,5,3,0,2,3,3,-8
Derrick Rose,DET,@CLE,01/27/2021,L,19,13,5,10,50.0,2,3,66.7,1,2,50.0,0,0,0,3,0,0,2,0,-28
Cedi Osman,CLE,vs.DET,01/27/2021,W,27,10,4,8,50.0,2,5,40.0,0,0,-,0,1,1,2,0,0,0,3,-12
Taurean Prince,CLE,vs.DET,01/27/2021,W,30,16,6,10,60.0,3,6,50.0,1,2,50.0,0,7,7,5,0,2,1,4,20
Collin Sexton,CLE,vs.DET,01/27/2021,W,35,29,10,14,71.4,1,1,100,8,10,80.0,0,5,5,5,2,0,5,2,25
Dylan Windler,CLE,vs.DET,01/27/2021,W,22,8,3,6,50.0,2,4,50.0,0,0,-,0,2,2,0,2,1,1,2,29
Delon Wright,DET,@CLE,01/27/2021,L,30,11,3,8,37.5,1,3,33.3,4,6,66.7,1,3,4,7,3,1,2,1,5
Jerami Grant,DET,@CLE,01/27/2021,L,33,26,7,13,53.8,2,2,100,10,10,100,1,2,3,2,1,0,3,2,-1
Darius Garland,CLE,vs.DET,01/27/2021,W,31,14,6,11,54.5,2,2,100,0,0,-,1,1,2,4,2,0,3,1,2
Sekou Doumbouya,DET,@CLE,01/27/2021,L,15,6,3,5,60.0,0,1,0.0,0,2,0.0,0,3,3,1,0,0,0,4,-14
Mason Plumlee,DET,@CLE,01/27/2021,L,28,15,6,9,66.7,0,1,0.0,3,4,75.0,3,9,12,3,0,1,8,4,-4
Svi Mykhailiuk,DET,@CLE,01/27/2021,L,19,2,1,3,33.3,0,2,0.0,0,0,-,0,2,2,5,0,0,1,2,-4
Khem Birch,ORL,vs.SAC,01/27/2021,L,26,8,4,6,66.7,0,0,-,0,0,-,10,4,14,3,0,1,2,4,11
Gary Clark,ORL,vs.SAC,01/27/2021,L,26,2,1,6,16.7,0,5,0.0,0,0,-,3,1,4,4,1,0,0,1,-4
De'Aaron Fox,SAC,@ORL,01/27/2021,W,39,16,4,17,23.5,1,5,20.0,7,8,87.5,1,7,8,10,0,1,2,5,19
Evan Fournier,ORL,vs.SAC,01/27/2021,L,30,25,7,15,46.7,3,8,37.5,8,8,100,0,3,3,4,0,3,1,2,-18
Mo Bamba,ORL,vs.SAC,01/27/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,0
Cole Anthony,ORL,vs.SAC,01/27/2021,L,30,7,2,9,22.2,1,2,50.0,2,2,100,0,3,3,6,0,2,2,3,-3
Chimezie Metu,SAC,@ORL,01/27/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,1,0,0
Marvin Bagley III,SAC,@ORL,01/27/2021,W,22,16,7,14,50.0,1,3,33.3,1,5,20.0,8,4,12,2,1,0,3,2,15
Buddy Hield,SAC,@ORL,01/27/2021,W,38,29,10,17,58.8,7,12,58.3,2,2,100,0,5,5,3,3,1,1,2,16
Tyrese Haliburton,SAC,@ORL,01/27/2021,W,30,7,3,11,27.3,1,4,25.0,0,0,-,1,1,2,7,0,1,2,1,-8
Nikola Vucevic,ORL,vs.SAC,01/27/2021,L,33,26,11,18,61.1,2,2,100,2,2,100,2,7,9,2,0,0,1,0,-23
Justin James,SAC,@ORL,01/27/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Glenn Robinson III,SAC,@ORL,01/27/2021,W,12,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,1,0,0,1,-1
Hassan Whiteside,SAC,@ORL,01/27/2021,W,16,9,4,7,57.1,0,1,0.0,1,3,33.3,2,4,6,0,0,0,1,0,-3
Jordan Bone,ORL,vs.SAC,01/27/2021,L,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,0
James Ennis III,ORL,vs.SAC,01/27/2021,L,19,8,3,4,75.0,1,1,100,1,2,50.0,0,1,1,0,1,0,1,5,-15
Harrison Barnes,SAC,@ORL,01/27/2021,W,38,21,8,11,72.7,3,6,50.0,2,2,100,0,5,5,4,2,0,3,1,14
Robert Woodard II,SAC,@ORL,01/27/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Terrence Ross,ORL,vs.SAC,01/27/2021,L,27,16,7,16,43.8,2,3,66.7,0,0,-,0,3,3,1,3,2,2,0,1
Dwayne Bacon,ORL,vs.SAC,01/27/2021,L,18,12,4,12,33.3,0,1,0.0,4,4,100,1,3,4,0,3,0,0,4,4
Cory Joseph,SAC,@ORL,01/27/2021,W,13,3,1,1,100,1,1,100,0,0,-,0,0,0,1,0,0,0,1,1
Aaron Gordon,ORL,vs.SAC,01/27/2021,L,26,3,1,9,11.1,1,3,33.3,0,0,-,1,4,5,5,0,0,4,4,-23
Richaun Holmes,SAC,@ORL,01/27/2021,W,32,20,8,11,72.7,0,0,-,4,6,66.7,5,7,12,3,0,0,2,5,17
Deandre Ayton,PHX,vs.OKC,01/27/2021,L,35,5,2,7,28.6,0,0,-,1,2,50.0,4,10,14,0,1,0,4,3,7
Kenrich Williams,OKC,@PHX,01/27/2021,W,18,2,1,2,50.0,0,0,-,0,0,-,1,3,4,3,0,0,1,3,-10
Abdel Nader,PHX,vs.OKC,01/27/2021,L,19,12,5,9,55.6,2,4,50.0,0,0,-,0,3,3,0,1,1,0,1,5
Shai Gilgeous-Alexander,OKC,@PHX,01/27/2021,W,31,21,6,18,33.3,2,7,28.6,7,9,77.8,1,6,7,8,2,2,4,0,0
Jae Crowder,PHX,vs.OKC,01/27/2021,L,33,17,5,16,31.3,4,11,36.4,3,4,75.0,0,7,7,4,2,0,3,3,-7
Hamidou Diallo,OKC,@PHX,01/27/2021,W,18,10,4,9,44.4,0,0,-,2,3,66.7,1,4,5,1,0,1,2,2,-7
Aleksej Pokusevski,OKC,@PHX,01/27/2021,W,22,7,3,8,37.5,1,4,25.0,0,0,-,0,4,4,2,1,3,1,1,-4
Al Horford,OKC,@PHX,01/27/2021,W,30,21,8,12,66.7,5,5,100,0,0,-,1,10,11,2,3,1,0,1,14
Mike Muscala,OKC,@PHX,01/27/2021,W,14,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,4
Luguentz Dort,OKC,@PHX,01/27/2021,W,31,14,5,11,45.5,4,8,50.0,0,0,-,0,1,1,1,0,1,2,5,15
Frank Kaminsky,PHX,vs.OKC,01/27/2021,L,13,5,2,5,40.0,0,2,0.0,1,1,100,1,4,5,2,0,1,0,1,-12
Mikal Bridges,PHX,vs.OKC,01/27/2021,L,31,7,3,13,23.1,1,6,16.7,0,0,-,1,4,5,2,0,0,0,2,-4
E'Twaun Moore,PHX,vs.OKC,01/27/2021,L,15,2,1,5,20.0,0,2,0.0,0,0,-,0,1,1,1,0,0,1,0,-8
Theo Maledon,OKC,@PHX,01/27/2021,W,30,11,4,7,57.1,3,6,50.0,0,0,-,1,5,6,2,1,0,2,3,6
Isaiah Roby,OKC,@PHX,01/27/2021,W,10,4,2,2,100,0,0,-,0,0,-,0,1,1,0,0,0,0,2,-8
Darius Bazley,OKC,@PHX,01/27/2021,W,30,10,4,13,30.8,1,8,12.5,1,2,50.0,0,7,7,1,0,0,1,1,12
Justin Jackson,OKC,@PHX,01/27/2021,W,7,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,1,0,0,0,1,3
Jalen Smith,PHX,vs.OKC,01/27/2021,L,5,3,1,4,25.0,1,2,50.0,0,0,-,1,0,1,0,0,0,0,0,-3
Cameron Johnson,PHX,vs.OKC,01/27/2021,L,32,8,3,8,37.5,2,3,66.7,0,0,-,0,5,5,2,1,0,1,1,-1
Chris Paul,PHX,vs.OKC,01/27/2021,L,35,32,12,21,57.1,3,8,37.5,5,5,100,1,4,5,5,1,0,4,4,3
Jevon Carter,PHX,vs.OKC,01/27/2021,L,23,6,2,7,28.6,2,5,40.0,0,0,-,1,2,3,3,1,1,0,1,-5
Jaylen Brown,BOS,@SAS,01/27/2021,L,36,24,8,19,42.1,3,6,50.0,5,6,83.3,0,4,4,5,1,2,0,4,-1
Robert Williams III,BOS,@SAS,01/27/2021,L,13,6,3,3,100,0,0,-,0,0,-,4,3,7,1,1,1,1,1,-6
Patty Mills,SAS,vs.BOS,01/27/2021,W,27,12,6,11,54.5,0,4,0.0,0,0,-,0,1,1,2,2,0,3,1,15
Javonte Green,BOS,@SAS,01/27/2021,L,13,2,1,3,33.3,0,0,-,0,0,-,0,1,1,1,2,0,0,0,0
Semi Ojeleye,BOS,@SAS,01/27/2021,L,14,5,1,2,50.0,1,2,50.0,2,2,100,0,2,2,0,0,0,0,0,-7
Dejounte Murray,SAS,vs.BOS,01/27/2021,W,36,11,5,11,45.5,0,2,0.0,1,2,50.0,0,11,11,4,1,0,3,1,-4
Jayson Tatum,BOS,@SAS,01/27/2021,L,34,25,11,25,44.0,0,3,0.0,3,4,75.0,3,4,7,2,4,0,3,1,11
Rudy Gay,SAS,vs.BOS,01/27/2021,W,17,7,2,8,25.0,0,5,0.0,3,4,75.0,0,3,3,1,0,0,0,1,-1
Jeff Teague,BOS,@SAS,01/27/2021,L,8,0,0,3,0.0,0,1,0.0,0,0,-,0,1,1,1,0,1,0,1,4
Tristan Thompson,BOS,@SAS,01/27/2021,L,23,8,3,8,37.5,0,1,0.0,2,2,100,3,5,8,0,0,0,0,1,2
Carsen Edwards,BOS,@SAS,01/27/2021,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Jakob Poeltl,SAS,vs.BOS,01/27/2021,W,19,4,2,2,100,0,0,-,0,0,-,3,6,9,4,1,2,3,5,-8
Keldon Johnson,SAS,vs.BOS,01/27/2021,W,31,18,9,14,64.3,0,1,0.0,0,0,-,3,7,10,1,1,0,2,2,8
Aaron Nesmith,BOS,@SAS,01/27/2021,L,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,0,2
Kemba Walker,BOS,@SAS,01/27/2021,L,27,14,6,15,40.0,2,7,28.6,0,0,-,0,0,0,2,1,0,2,0,-16
Lonnie Walker IV,SAS,vs.BOS,01/27/2021,W,31,14,6,9,66.7,2,4,50.0,0,0,-,0,1,1,1,0,0,2,3,5
Daniel Theis,BOS,@SAS,01/27/2021,L,12,5,2,3,66.7,1,1,100,0,0,-,1,0,1,0,0,0,1,4,0
Grant Williams,BOS,@SAS,01/27/2021,L,11,3,1,1,100,1,1,100,0,0,-,1,2,3,0,0,0,0,1,5
Devin Vassell,SAS,vs.BOS,01/27/2021,W,15,3,1,5,20.0,1,4,25.0,0,0,-,1,2,3,0,0,0,3,1,-7
LaMarcus Aldridge,SAS,vs.BOS,01/27/2021,W,28,20,8,14,57.1,3,6,50.0,1,4,25.0,2,1,3,2,0,2,0,1,9
DeMar DeRozan,SAS,vs.BOS,01/27/2021,W,34,21,7,8,87.5,2,2,100,5,6,83.3,0,5,5,7,0,0,3,1,3
Marcus Smart,BOS,@SAS,01/27/2021,L,39,14,6,15,40.0,2,7,28.6,0,0,-,1,3,4,3,1,0,2,1,-11
Draymond Green,GSW,vs.MIN,01/27/2021,W,30,6,3,6,50.0,0,0,-,0,0,-,1,5,6,8,2,0,4,3,30
Kent Bazemore,GSW,vs.MIN,01/27/2021,W,12,7,2,3,66.7,1,1,100,2,2,100,0,3,3,0,2,1,2,4,10
Jaden McDaniels,MIN,@GSW,01/27/2021,L,14,5,1,5,20.0,1,4,25.0,2,4,50.0,1,1,2,1,0,0,2,5,1
Jordan Poole,GSW,vs.MIN,01/27/2021,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,0
Naz Reid,MIN,@GSW,01/27/2021,L,27,19,6,10,60.0,1,2,50.0,6,9,66.7,4,3,7,1,3,5,3,3,-17
Jaylen Nowell,MIN,@GSW,01/27/2021,L,16,12,3,7,42.9,2,6,33.3,4,4,100,0,2,2,3,0,0,1,1,6
Jarred Vanderbilt,MIN,@GSW,01/27/2021,L,25,4,2,3,66.7,0,0,-,0,0,-,2,5,7,4,2,1,0,2,-16
Ashton Hagans,MIN,@GSW,01/27/2021,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Andrew Wiggins,GSW,vs.MIN,01/27/2021,W,31,19,8,13,61.5,0,3,0.0,3,4,75.0,1,2,3,1,1,0,2,3,23
Stephen Curry,GSW,vs.MIN,01/27/2021,W,33,16,6,17,35.3,4,11,36.4,0,0,-,0,6,6,8,0,0,2,2,28
Josh Okogie,MIN,@GSW,01/27/2021,L,17,3,1,7,14.3,0,4,0.0,1,2,50.0,1,0,1,0,1,0,0,2,-17
Malik Beasley,MIN,@GSW,01/27/2021,L,30,25,7,18,38.9,4,9,44.4,7,8,87.5,0,5,5,1,1,0,1,1,-14
Jake Layman,MIN,@GSW,01/27/2021,L,19,7,3,6,50.0,1,1,100,0,2,0.0,1,3,4,0,2,1,2,1,5
Damion Lee,GSW,vs.MIN,01/27/2021,W,24,17,5,6,83.3,4,5,80.0,3,3,100,1,1,2,0,3,0,0,1,-3
Mychal Mulder,GSW,vs.MIN,01/27/2021,W,16,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,1,1,1,0,1,-13
Nico Mannion,GSW,vs.MIN,01/27/2021,W,2,0,0,0,-,0,0,-,0,2,0.0,0,1,1,0,0,0,0,0,-4
Kevon Looney,GSW,vs.MIN,01/27/2021,W,12,2,1,3,33.3,0,0,-,0,0,-,5,5,10,4,0,0,2,1,9
Kelly Oubre Jr.,GSW,vs.MIN,01/27/2021,W,24,20,7,9,77.8,2,3,66.7,4,4,100,0,9,9,3,2,1,4,4,-6
Anthony Edwards,MIN,@GSW,01/27/2021,L,32,25,9,19,47.4,5,8,62.5,2,2,100,1,3,4,2,3,0,3,1,-2
Ricky Rubio,MIN,@GSW,01/27/2021,L,22,5,2,7,28.6,0,2,0.0,1,2,50.0,0,1,1,5,0,0,3,1,-15
Eric Paschall,GSW,vs.MIN,01/27/2021,W,15,4,1,3,33.3,0,1,0.0,2,2,100,0,0,0,1,0,0,0,4,-16
Ed Davis,MIN,@GSW,01/27/2021,L,9,0,0,0,-,0,0,-,0,0,-,0,3,3,1,0,0,1,2,6
James Wiseman,GSW,vs.MIN,01/27/2021,W,24,25,9,14,64.3,3,3,100,4,6,66.7,3,3,6,0,0,2,4,3,12
Brad Wanamaker,GSW,vs.MIN,01/27/2021,W,15,4,2,8,25.0,0,4,0.0,0,0,-,0,0,0,6,0,0,1,2,-10
Jordan McLaughlin,MIN,@GSW,01/27/2021,L,26,6,3,5,60.0,0,0,-,0,0,-,1,2,3,5,0,0,1,3,3
Joel Embiid,PHI,vs.LAL,01/27/2021,W,38,28,8,18,44.4,1,3,33.3,11,13,84.6,1,5,6,4,0,2,5,4,8
Montrezl Harrell,LAL,@PHI,01/27/2021,L,15,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,3,0,0,4,-6
Anthony Davis,LAL,@PHI,01/27/2021,L,35,23,9,18,50.0,0,3,0.0,5,10,50.0,1,7,8,2,0,2,2,4,-4
Alex Caruso,LAL,@PHI,01/27/2021,L,16,10,4,7,57.1,1,1,100,1,1,100,1,0,1,2,0,0,0,1,8
Danny Green,PHI,vs.LAL,01/27/2021,W,36,14,5,11,45.5,4,9,44.4,0,0,-,2,4,6,1,1,2,0,1,8
Markieff Morris,LAL,@PHI,01/27/2021,L,13,4,2,5,40.0,0,3,0.0,0,0,-,1,1,2,0,0,0,0,1,3
Ben Simmons,PHI,vs.LAL,01/27/2021,W,39,17,8,15,53.3,0,0,-,1,2,50.0,3,8,11,10,1,1,1,2,-11
Kyle Kuzma,LAL,@PHI,01/27/2021,L,16,3,1,4,25.0,0,1,0.0,1,2,50.0,2,4,6,1,0,0,1,1,-6
Marc Gasol,LAL,@PHI,01/27/2021,L,24,8,3,7,42.9,2,4,50.0,0,0,-,1,1,2,3,0,0,1,3,-9
Shake Milton,PHI,vs.LAL,01/27/2021,W,21,9,4,8,50.0,0,2,0.0,1,1,100,0,3,3,3,1,0,1,3,5
Wesley Matthews,LAL,@PHI,01/27/2021,L,20,3,1,3,33.3,1,2,50.0,0,0,-,0,2,2,0,1,0,1,2,0
Dennis Schroder,LAL,@PHI,01/27/2021,L,29,16,7,14,50.0,1,3,33.3,1,1,100,0,3,3,3,0,0,0,0,0
Kentavious Caldwell-Pope,LAL,@PHI,01/27/2021,L,27,3,1,3,33.3,1,2,50.0,0,0,-,0,3,3,2,1,0,1,0,1
LeBron James,LAL,@PHI,01/27/2021,L,39,34,12,22,54.5,2,5,40.0,8,11,72.7,0,6,6,7,0,0,3,3,4
Tyrese Maxey,PHI,vs.LAL,01/27/2021,W,6,4,2,5,40.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Matisse Thybulle,PHI,vs.LAL,01/27/2021,W,15,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,3,0,0,3,1
Dwight Howard,PHI,vs.LAL,01/27/2021,W,7,0,0,0,-,0,0,-,0,4,0.0,1,3,4,0,1,1,0,4,-6
Talen Horton-Tucker,LAL,@PHI,01/27/2021,L,7,2,1,2,50.0,0,0,-,0,0,-,0,3,3,0,0,0,2,1,4
Tobias Harris,PHI,vs.LAL,01/27/2021,W,37,24,10,16,62.5,2,4,50.0,2,4,50.0,0,7,7,3,1,0,3,3,-3
Seth Curry,PHI,vs.LAL,01/27/2021,W,31,2,1,6,16.7,0,3,0.0,0,0,-,0,1,1,3,1,1,1,3,3
Furkan Korkmaz,PHI,vs.LAL,01/27/2021,W,11,8,3,5,60.0,2,3,66.7,0,0,-,0,0,0,0,1,0,0,1,4
Lou Williams,LAC,@ATL,01/26/2021,L,22,11,4,14,28.6,1,3,33.3,2,2,100,1,2,3,3,0,0,2,0,-3
Skylar Mays,ATL,vs.LAC,01/26/2021,W,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-2
Solomon Hill,ATL,vs.LAC,01/26/2021,W,23,0,0,2,0.0,0,2,0.0,0,0,-,0,4,4,1,2,0,0,1,1
Trae Young,ATL,vs.LAC,01/26/2021,W,36,38,12,23,52.2,3,7,42.9,11,11,100,0,3,3,5,1,0,3,0,12
John Collins,ATL,vs.LAC,01/26/2021,W,35,11,4,11,36.4,1,3,33.3,2,2,100,1,10,11,3,0,5,0,5,4
Tony Snell,ATL,vs.LAC,01/26/2021,W,3,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,0,1,2
Terance Mann,LAC,@ATL,01/26/2021,L,34,10,4,8,50.0,1,3,33.3,1,2,50.0,2,7,9,1,4,0,0,5,-11
Nicolas Batum,LAC,@ATL,01/26/2021,L,33,5,2,7,28.6,1,5,20.0,0,0,-,0,4,4,5,0,0,3,1,-6
Ivica Zubac,LAC,@ATL,01/26/2021,L,18,13,3,5,60.0,0,0,-,7,8,87.5,3,7,10,1,0,0,0,4,-7
Rajon Rondo,ATL,vs.LAC,01/26/2021,W,6,2,1,1,100,0,0,-,0,0,-,0,0,0,0,1,0,2,0,0
Brandon Goodwin,ATL,vs.LAC,01/26/2021,W,16,7,2,3,66.7,1,2,50.0,2,2,100,0,3,3,2,0,0,0,0,6
Danilo Gallinari,ATL,vs.LAC,01/26/2021,W,14,2,0,2,0.0,0,2,0.0,2,2,100,0,1,1,0,0,0,3,2,7
Serge Ibaka,LAC,@ATL,01/26/2021,L,29,15,6,15,40.0,1,3,33.3,2,2,100,4,1,5,3,0,3,3,2,-3
Amir Coffey,LAC,@ATL,01/26/2021,L,12,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,2,-4
De'Andre Hunter,ATL,vs.LAC,01/26/2021,W,36,22,7,16,43.8,2,7,28.6,6,6,100,0,3,3,4,1,1,1,0,9
Luke Kennard,LAC,@ATL,01/26/2021,L,28,13,5,13,38.5,2,5,40.0,1,2,50.0,0,3,3,2,4,0,0,0,-4
Marcus Morris Sr.,LAC,@ATL,01/26/2021,L,24,10,3,9,33.3,0,0,-,4,4,100,2,3,5,0,1,0,1,2,-5
Clint Capela,ATL,vs.LAC,01/26/2021,W,35,13,6,11,54.5,0,0,-,1,2,50.0,8,10,18,1,2,2,3,3,2
Kevin Huerter,ATL,vs.LAC,01/26/2021,W,35,13,5,10,50.0,3,3,100,0,0,-,0,2,2,3,0,1,2,4,4
Reggie Jackson,LAC,@ATL,01/26/2021,L,39,20,8,16,50.0,2,6,33.3,2,2,100,1,6,7,8,2,1,2,3,-2
Julius Randle,NYK,@UTA,01/26/2021,L,35,18,6,16,37.5,2,4,50.0,4,4,100,2,8,10,4,0,0,2,4,-14
Miye Oni,UTA,vs.NYK,01/26/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-2
Bojan Bogdanovic,UTA,vs.NYK,01/26/2021,W,24,11,2,10,20.0,2,7,28.6,5,6,83.3,0,1,1,1,1,0,1,3,-4
Georges Niang,UTA,vs.NYK,01/26/2021,W,13,9,3,6,50.0,3,6,50.0,0,0,-,0,1,1,0,2,0,0,1,14
Kevin Knox II,NYK,@UTA,01/26/2021,L,8,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,1,1,-7
Austin Rivers,NYK,@UTA,01/26/2021,L,27,25,10,14,71.4,5,7,71.4,0,0,-,1,2,3,1,0,0,1,4,-13
Juwan Morgan,UTA,vs.NYK,01/26/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Nerlens Noel,NYK,@UTA,01/26/2021,L,17,2,1,2,50.0,0,0,-,0,0,-,1,3,4,1,3,2,0,1,1
Alec Burks,NYK,@UTA,01/26/2021,L,23,9,3,14,21.4,0,7,0.0,3,3,100,1,6,7,1,1,0,1,3,-5
Obi Toppin,NYK,@UTA,01/26/2021,L,13,4,2,2,100,0,0,-,0,0,-,0,2,2,0,0,0,1,0,0
Mike Conley,UTA,vs.NYK,01/26/2021,W,32,19,5,12,41.7,3,7,42.9,6,6,100,3,4,7,5,0,0,1,0,27
RJ Barrett,NYK,@UTA,01/26/2021,L,40,17,7,11,63.6,3,3,100,0,2,0.0,2,1,3,4,1,0,1,2,-7
Shaquille Harrison,UTA,vs.NYK,01/26/2021,W,1,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Immanuel Quickley,NYK,@UTA,01/26/2021,L,23,6,1,11,9.1,0,4,0.0,4,4,100,0,4,4,1,1,0,2,1,-5
Donovan Mitchell,UTA,vs.NYK,01/26/2021,W,34,9,3,15,20.0,2,9,22.2,1,2,50.0,2,6,8,3,0,0,2,2,1
Theo Pinson,NYK,@UTA,01/26/2021,L,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Joe Ingles,UTA,vs.NYK,01/26/2021,W,27,7,3,6,50.0,1,4,25.0,0,0,-,0,2,2,5,0,0,1,1,11
Mitchell Robinson,NYK,@UTA,01/26/2021,L,31,7,3,4,75.0,0,0,-,1,4,25.0,1,7,8,1,0,2,0,2,-15
Udoka Azubuike,UTA,vs.NYK,01/26/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2
Rudy Gobert,UTA,vs.NYK,01/26/2021,W,32,18,8,13,61.5,0,0,-,2,2,100,7,12,19,2,0,4,0,2,27
Elfrid Payton,NYK,@UTA,01/26/2021,L,21,4,2,7,28.6,0,2,0.0,0,0,-,1,1,2,2,0,0,2,3,-7
Jordan Clarkson,UTA,vs.NYK,01/26/2021,W,24,13,5,16,31.3,2,10,20.0,1,1,100,1,4,5,4,3,0,0,1,10
Derrick Favors,UTA,vs.NYK,01/26/2021,W,15,2,1,1,100,0,0,-,0,0,-,2,2,4,1,0,0,0,1,-11
Royce O'Neale,UTA,vs.NYK,01/26/2021,W,35,20,7,12,58.3,2,5,40.0,4,5,80.0,2,4,6,3,0,1,0,3,3
John Wall,HOU,vs.WAS,01/26/2021,W,24,24,9,21,42.9,1,6,16.7,5,6,83.3,1,1,2,5,1,0,3,0,11
Alex Len,WAS,@HOU,01/26/2021,L,6,0,0,0,-,0,0,-,0,2,0.0,0,2,2,1,0,0,1,2,0
Jerome Robinson,WAS,@HOU,01/26/2021,L,30,4,2,7,28.6,0,3,0.0,0,0,-,0,5,5,1,1,0,2,2,-21
Anthony Gill,WAS,@HOU,01/26/2021,L,22,2,1,4,25.0,0,3,0.0,0,0,-,2,6,8,2,1,0,2,1,6
Danuel House Jr.,HOU,vs.WAS,01/26/2021,W,14,2,1,4,25.0,0,0,-,0,0,-,0,1,1,0,0,1,1,2,9
Cassius Winston,WAS,@HOU,01/26/2021,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3
Victor Oladipo,HOU,vs.WAS,01/26/2021,W,37,20,7,21,33.3,3,10,30.0,3,6,50.0,0,5,5,1,0,0,3,1,4
P.J. Tucker,HOU,vs.WAS,01/26/2021,W,34,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,1,0,0,3,1
Jae'Sean Tate,HOU,vs.WAS,01/26/2021,W,28,3,1,6,16.7,0,1,0.0,1,2,50.0,3,4,7,0,1,0,0,0,8
Raul Neto,WAS,@HOU,01/26/2021,L,22,8,3,10,30.0,2,6,33.3,0,0,-,2,3,5,1,3,1,1,1,-12
DeMarcus Cousins,HOU,vs.WAS,01/26/2021,W,33,19,6,11,54.5,4,8,50.0,3,5,60.0,1,10,11,2,5,1,2,5,6
David Nwaba,HOU,vs.WAS,01/26/2021,W,23,11,5,7,71.4,1,2,50.0,0,0,-,3,6,9,3,2,1,1,4,20
Garrison Mathews,WAS,@HOU,01/26/2021,L,23,8,1,3,33.3,1,2,50.0,5,5,100,1,1,2,0,1,0,0,3,-17
Eric Gordon,HOU,vs.WAS,01/26/2021,W,29,20,6,13,46.2,2,7,28.6,6,7,85.7,0,2,2,4,1,0,2,1,15
Robin Lopez,WAS,@HOU,01/26/2021,L,30,10,5,8,62.5,0,0,-,0,0,-,3,1,4,3,1,0,0,2,-8
Sterling Brown,HOU,vs.WAS,01/26/2021,W,16,8,2,4,50.0,1,2,50.0,3,3,100,0,5,5,1,1,1,1,1,22
Isaac Bonga,WAS,@HOU,01/26/2021,L,26,0,0,3,0.0,0,2,0.0,0,0,-,0,4,4,0,0,0,1,4,-9
Russell Westbrook,WAS,@HOU,01/26/2021,L,28,19,7,17,41.2,1,4,25.0,4,8,50.0,2,9,11,7,0,0,6,3,-13
